tconst	averageRating	numVotes
tt11615616	5.9	458
tt11623854	9.0	782
tt11626108	3.4	736
tt11633442	7.4	48
tt11639296	8.1	82
tt11639966	8.5	13
tt11646442	9.6	769
tt11648994	7.3	27
tt11651668	8.7	57
tt11651768	6.5	384
tt11667808	3.0	220
tt11669538	6.3	254
tt11671006	5.8	35948
tt11674948	4.5	327
tt11680472	9.2	1174
tt11684438	7.8	76
tt11687154	6.9	215
tt11694374	6.2	83
tt11698800	6.2	24
tt11702252	8.2	25
tt11703050	6.8	14132
tt11703710	7.5	15904
tt11724384	6.1	9
tt11730914	4.4	2351
tt11731024	8.5	1228
tt11738584	4.8	12
tt11742162	8.7	7
tt11749480	6.9	858
tt11753760	6.9	79
tt11755740	4.8	49200
tt11760866	4.8	14
tt11761216	7.2	18
tt11764342	6.7	9
tt11791964	8.4	1586
tt11799764	8.1	45
tt11803064	3.7	342
tt11806132	5.0	26
tt11807698	7.6	43
tt11818818	6.1	143
tt11826240	6.1	923
tt11827628	5.6	13780
tt11829710	7.2	12
tt11833692	3.1	259
tt11834966	4.4	50
tt11841496	8.2	19
tt11845074	8.4	20
tt11847972	6.4	395
tt11851548	6.2	385
tt11851698	8.3	10
tt11853944	4.8	123
tt11854326	6.4	54
tt11857966	3.6	9
tt11866324	6.5	857
tt11866940	8.2	1211
tt11873440	3.1	25849
tt11879338	7.4	11
tt11891698	6.2	99
tt11892056	5.6	9
tt11893274	7.4	10534
tt11897478	6.8	46
tt11898996	7.1	42
tt11915106	3.1	129
tt11916334	7.0	6
tt11917930	4.9	9
tt11919160	5.0	181
tt11921114	8.7	24
tt11924110	5.6	145
tt11924122	8.9	103
tt11929078	3.6	8
tt11930126	7.6	1213
tt11934038	4.8	6
tt11934846	7.1	17107
tt11939970	2.4	199
tt11940240	6.9	107
tt11946138	7.6	35
tt11947158	6.7	8043
tt11952606	6.1	30
tt11952776	7.7	52
tt11953194	6.0	3339
tt11959452	3.2	73
tt11960634	9.5	456
