tconst	averageRating	numVotes
tt11301946	5.2	30797
tt11304358	8.1	106
tt11306518	6.9	1968
tt11306896	9.4	1046
tt11310608	6.6	670
tt11311302	7.1	35288
tt11316996	9.2	18
tt11318302	7.6	1160
tt11318364	7.8	397
tt11319342	7.0	5
tt11322040	9.0	29
tt11322960	8.5	14
tt11341742	7.9	539
tt11343686	6.1	922
tt11343708	6.6	2654
tt11347146	6.8	846
tt11348232	2.6	4546
tt11353050	3.4	164
tt11354258	5.2	12
tt11355334	5.7	143
tt11362842	8.8	83
tt11364112	3.9	526
tt11365186	6.6	6229
tt11367378	4.8	81
tt11375428	8.1	11182
tt11375842	7.9	22
tt11379620	6.5	72
tt11379628	8.0	5
tt11379988	7.6	7712
tt11385554	6.1	11
tt11388504	7.3	93
tt11396226	8.0	3180
tt11398152	8.8	21
tt11398276	7.7	18
tt11398388	6.5	51
tt11409736	7.0	33
tt11409820	5.3	533
tt11421116	9.4	20
tt11423420	6.0	79
tt11423818	8.5	7126
tt11425254	6.9	76
tt11426572	6.1	299
tt11432992	4.1	79
tt11433956	7.4	199
tt11444366	6.7	1085
tt11444768	7.2	18
tt11447196	8.8	12
tt11447470	6.2	1577
tt11448138	6.7	229
tt11448830	7.2	49
tt11455718	7.4	122
tt11457044	8.5	17
tt11458170	6.9	8
tt11460816	6.6	56
tt11460992	7.1	23421
tt11464446	4.9	817
tt11465714	6.6	31
tt11466222	6.9	39832
tt11468230	5.1	157
tt11468232	7.7	12
tt11468258	7.0	3515
tt11478150	6.7	69
tt11497716	2.6	1262
tt11513696	7.0	68
tt11514780	4.7	18998
tt11525390	4.4	198
tt11534392	4.5	231
tt11534450	6.2	116
tt11534504	3.7	9
tt11535358	5.0	704
tt11535504	7.0	22
tt11537034	7.6	8
tt11540726	6.7	466
tt11541872	5.4	7670
tt11552344	5.0	698
tt11552492	9.0	6
tt11558628	5.0	314
tt11558684	6.7	1445
tt11558688	4.6	1416
tt11563070	3.8	3935
tt11563926	7.9	44
tt11569768	9.2	18
tt11584270	9.2	16
tt11592014	6.1	965
tt11602002	9.6	10
tt11603828	8.2	1733
tt11603984	6.5	11
tt11609174	7.6	19
tt11611064	6.5	610
tt11613096	9.3	13
tt11615616	5.9	458
tt11623854	9.0	782
tt11626108	3.4	736
tt11633442	7.4	48
tt11637594	6.4	22
tt11639296	8.1	82
tt11639966	8.5	13
tt11646442	9.6	769
tt11648994	7.3	27
tt11651668	8.7	57
tt11651768	6.5	384
tt11653688	8.7	314
tt11667808	3.0	220
tt11668412	8.7	11
tt11669538	6.3	254
tt11671006	5.8	35948
tt11674948	4.5	327
tt11676470	6.2	36
tt11680472	9.2	1174
tt11681244	4.1	37
tt11684438	7.8	76
tt11685912	7.1	23195
tt11687154	6.9	215
tt11694374	6.2	83
tt11698202	8.7	37
tt11698800	6.2	24
tt11702252	8.2	25
tt11703050	6.8	14132
tt11703710	7.5	15904
tt11706086	5.8	202
tt11714570	5.9	527
tt11718516	7.7	34
tt11724384	6.1	9
tt11730752	7.1	14
tt11730914	4.4	2351
tt11731024	8.5	1228
tt11737778	7.4	39
tt11738584	4.8	12
tt11742162	8.7	7
tt11743610	8.1	55424
tt11749480	6.9	858
tt11753760	6.9	79
tt11755740	4.8	49200
tt11760866	4.8	14
tt11761194	8.1	4763
tt11761216	7.2	18
tt11764342	6.7	9
tt11767714	8.7	50
tt11791964	8.4	1586
tt11799764	8.1	45
tt11803064	3.7	342
tt11806132	5.0	26
tt11807698	7.6	43
tt11816026	5.4	112
tt11817054	9.0	739
tt11818818	6.1	143
tt11826240	6.1	923
tt11827628	5.6	13780
tt11827790	4.8	40
tt11829710	7.2	12
tt11833692	3.1	259
tt11834966	4.4	50
tt11841496	8.2	19
tt11845074	8.4	20
tt11847842	7.0	15692
