tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt10474784	movie	Third World	Third World	0	2022	\N	81	Adventure,Drama,Fantasy
tt10483152	movie	Unicorn Wars	Unicorn Wars	0	2022	\N	80	Action,Animation,Comedy
tt10489128	movie	Unbound Evil	Unbound Evil	0	2022	\N	82	Horror,Mystery
tt10503988	movie	Exploited	Exploited	0	2022	\N	81	Thriller
tt10509906	movie	The Long Night	The Coven	0	2022	\N	91	Horror
tt10515720	movie	Champagne!	Champagne!	0	2022	\N	100	Comedy
tt10518732	movie	Exposure 36	Exposure 36	0	2022	\N	92	Sci-Fi,Thriller
tt10530838	movie	How to Please a Woman	How to Please a Woman	0	2022	\N	107	Drama
tt10543530	movie	The Fall of Camp Blood	The Fall of Camp Blood	0	2022	\N	53	Horror
tt10545696	movie	Maigret	Maigret	0	2022	\N	89	Crime,Drama
tt10553086	movie	Medicating Normal (2020)	Medicating Normal	0	2022	\N	76	Documentary
tt10558652	movie	O Palestrante Motivacional	O Palestrante Motivacional	0	2022	\N	120	Comedy
tt10588504	movie	Mind-Set	Mind-Set	0	2022	\N	90	Comedy,Drama
tt10598156	movie	Dhaakad	Dhaakad	0	2022	\N	135	Action,Thriller
tt10608624	movie	Veyil	Veyil	0	2022	\N	157	Drama,Thriller
tt10631148	movie	They Live in the Grey	They Live in the Grey	0	2022	\N	123	Horror,Thriller
tt10639624	movie	Dead by Midnight (Y2Kill)	Dead by Midnight (Y2Kill)	0	2022	\N	96	Horror
tt10646310	movie	Wings Over Water	Wings Over Water	0	2022	\N	45	Documentary
tt10648342	movie	Thor: Love and Thunder	Thor: Love and Thunder	0	2022	\N	118	Action,Adventure,Comedy
tt10650376	movie	The Second Age of Aquarius	The Second Age of Aquarius	0	2022	\N	81	Comedy,Sci-Fi
tt10651084	movie	Phatte Dinde Chakk Punjabi	Phatte Dinde Chakk Punjabi	0	2022	\N	70	Comedy
tt10651304	movie	Mengejar Surga	Mengejar Surga	0	2022	\N	82	Drama
tt10673868	movie	Ullasam	Ullasam	0	2022	\N	139	Comedy,Romance
tt10674504	movie	Field of Blood	Campo de Sangue	0	2022	\N	87	Drama
tt10680838	movie	Take the Night	Take the Night	0	2022	\N	82	Crime,Drama,Thriller
tt10687220	movie	Nikamma	Nikamma	0	2022	\N	152	Action,Comedy,Drama
tt10692578	movie	Carmen	Carmen	0	2022	\N	87	Drama
tt10692870	movie	The WORD	Slovo	0	2022	\N	104	Drama
tt10698680	movie	K.G.F: Chapter 2	K.G.F: Chapter 2	0	2022	\N	168	Action,Crime,Drama
tt10699086	movie	Bachchhan Paandey	Bachchhan Paandey	0	2022	\N	147	Action,Comedy,Crime
tt10701788	movie	Rucker	Rucker	0	2022	\N	96	Drama,Horror,Thriller
tt10709484	movie	Don	Don	0	2022	\N	165	Comedy,Drama,Romance
tt10723416	movie	Look at Me: XXXTentacion	Look at Me: XXXTentacion	0	2022	\N	108	Documentary,Music
tt10733228	movie	Gehraiyaan	Gehraiyaan	0	2022	\N	148	Drama,Romance
tt10737918	movie	Shin Ultraman	Shin Ultraman	0	2022	\N	112	Action,Adventure,Drama
tt10740944	movie	Graves	Graves	0	2022	\N	89	Action,Crime,Drama
tt10779254	movie	Talking About the Weather	Talking About the Weather	0	2022	\N	89	Drama
tt10789062	movie	Octopus Pot	Octopus Pot	0	2022	\N	87	Drama
tt10789216	movie	Diary of a Spy	Diary of a Spy	0	2022	\N	99	Drama,Mystery,Romance
tt10793838	movie	Year of the Dog	Year of the Dog	0	2022	\N	67	Documentary
tt10806040	movie	Valimai	Valimai	0	2022	\N	178	Action,Crime,Thriller
tt10809742	movie	Collision	Collision	0	2022	\N	99	Crime,Drama,Thriller
tt10811166	movie	The Kashmir Files	The Kashmir Files	0	2022	\N	170	Drama
tt10816062	movie	The Dinner Parting	The Dinner Parting	0	2022	\N	95	Comedy
tt10839454	movie	Tô Ryca! 2	Tô Ryca! 2	0	2022	\N	101	Comedy
tt10865174	movie	EAMI	EAMI	0	2022	\N	83	Drama
tt10869834	movie	A Bunch of Amateurs	A Bunch of Amateurs	0	2022	\N	95	Documentary
